날짜,제목,본문,링크
2026-03-21 21:18:45,고라 열등감 좆되노 ㅋㅋ,"인원 그렇게 많이 빠진것도 아니고 엔드랑 주제가 겹치는 것도 아닌데 엔드가 인원 다 빼갔다 이지랄 하면서 굳이 욕을 해야 함?
고라 부장도 가만히 있는데 교사만 화나서 불끈불끈 욕하기 바쁘노 ㅋㅋ
동아리 소개할 때 엔드 걔 욕하는 글 올렸다 지운 것도 학생이 한거 아님.
뒷자리에서 글쓰는거 나를 비롯한 3명이 봄 ㅄ",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=589&page=1
2026-03-20 17:30:47,주말에 택배 시켜도되나요?,알려주실분,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=587&page=1
2026-03-20 08:01:28,엄마뒤진년들아,"이 학교 개찐따년들는 기숙사 냉장고에서 남의꺼 빼먹는게 일상이노?
빼처먹으면 그리 기분이 좋더노? 맨날 그렇게 남의 뺏어 처먹으니까 살이 안처빠지고 피구공마냥 몸이 좆돼지련이지",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=586&page=1
2026-03-19 11:16:46,급식 양 좆같으면 개추 ㅋㅋ,퀄리티는 좋아지긴 했다만 양이 거의 맛보기용 스푼으로 집어 먹는 기분이다,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=585&page=1
2026-03-18 19:14:39,님들 이거 뭐임?,이거 뭐임?,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=583&page=1
2026-03-18 18:28:03,야야,야야 이호준 날려버려라,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=582&page=1
2026-03-18 15:53:57,나중에 취업해서 돈 많이버는 방법 알려드림,그딴거 없다 ㅂㅅ아 부자로 태어났어야지ㅇㅇ,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=581&page=1
2026-03-18 10:14:38,무리에 못생긴년 하나씩 껴있는건 종특임?,보통 그런 새끼들이 성격이나 위생이나 다 ㅈㄴ 더러움,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=580&page=1
2026-03-17 23:18:10,데이터 어케 받아야됨?,"유니티에서 데이터 받을때 플레이어 스탯이면
Id, hp, speed
1, 200, 3
이렇게 되어있을꺼고 npc면
name, 대사
이명박, 집가고싶다
대충 이렇게 되어있을텐데 전부다 같은곳에 받아옴?",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=579&page=1
2026-03-17 21:08:12,님들아,타방 출입되나요,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=578&page=1
2026-03-17 10:39:13,여기다 동아리 욕하고 싶은데,그러면 또 집합 당하겠죠?,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=575&page=1
2026-03-16 20:03:47,코딩공부 뭐해야하나요,"입학 희망하는 중3입니다
+포트폴리오는 어떻게 준비해야하나요?",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=574&page=1
2026-03-16 17:51:39,실시간 학교 ㅈ됌,니임마청년,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=573&page=1
2026-03-15 21:47:33,어떤미친놈이,하수구에다 음식버리냐,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=570&page=1
2026-03-15 08:37:03,무조건 집에서,쉬고와야되네 ㅋㅋㅋ 아 너무좋다,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=569&page=1
2026-03-14 18:29:41,자이언츠,손아섭승리를위해워어,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=568&page=1
2026-03-14 09:39:57,토요 수업 이게 뭐냐,"아니 포토폴리오 정리하고 면접 준비 같은거 한다고 왔는데
ㅈ피치 대통령와서 Ai로 영상 만들기 이런거 하고 있네
이제
나도
프로
유루바
되겠노",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=567&page=1
2026-03-14 01:22:35,낼 2학년은 학교에서 뭐하나,제대로 공지가 없네,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=566&page=1
2026-03-13 18:34:06,섹스?,일단 나는 남자임,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=565&page=1
2026-03-13 09:05:25,교실에서 키보드,교실에서 키보드 쓸데 혹시 양심이 없으신가요? 교실에서 쓸꺼면 스위치를 바꾸던가 하세요. 진짜 시끄럽게 뭐야.. 자기는 모르겠죠,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=564&page=1
2026-03-12 18:09:41,이 내신으로 가능한가요,3학년1학기는 기대값?입니다.,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=562&page=1
2026-03-10 20:28:10,동아리 어디 가야함?,"기능대회 하고 싶은데 클라우드는 없넹
기능은 따로 신청해야함?",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=560&page=1
2026-03-10 20:11:50,ㅈㄴ 웃긴 점,"알아서 현생 잘 살고 있음 = 대부분의 정상인
디시에서 기강잡음 = 쉬는시간 반에만 있고 누가 말도 잘 안 걸어줌
본인 3학년이고 팩트임. 글쓰는년들 디시 대놓고 하니까 누가누가 쓰는지 대충 다 앎 ㅇㅇ
싸잡아 욕먹는거 좆같아서 글써봄",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=559&page=1
2026-03-10 16:16:56,남자답게,넥타이 명치까지 존나 처 내려서 착용할거면 그냥 남자답게 미착용으로 벌점을 받자ㅋㅋ 벌점받는다고 인생 종치는것도 아니고 왜자꾸 가오를 잡냐?ㅋㅋ 1학년아 ㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=557&page=1
2026-03-10 01:10:02,금요일이나 토요일 방과후에도 전공 하나씩은 만들어주면 안되나,게임개발 배우고싶음 ㅇㅇ 직접 공부하기엔 뭐부터 해야할지 모르겠고 새로운거 알면 신기하지너,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=556&page=1
2026-03-09 21:36:01,오늘남기숙사에서,"건너들었는데 어떤개념없는놈이 상식이랑 라면이랑 같이 태워버렸냐
이제 전자랜지로 고기도 구워먹겠다 시발",https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=555&page=1
2026-03-09 14:15:25,아니 학교에 천국의 계단있음?,왜 우리때는 저런거 안들여옴.,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=554&page=1
2026-03-07 23:35:34,선배님들 궁금한거있습니다,기능경기대회 하려면 어느정도 수준이어야합니까? 그냥 고개박고 공부 열심히 하면 나갈수있습니까?,https://gall.dcinside.com/mgallery/board/view/?id=gbsw2025&no=552&page=1
